type, Leaf Node,Leaf Interface,Leaf IP Address,Port-Channel,Peer Node,Peer Interface,Peer IP Address,Port-Channel
L3 Leaf,DC1-LEAF1,Ethernet1,172.18.255.1/31,N/A,DC1-SPINE1,Ethernet1,172.18.255.0/31,N/A
L3 Leaf,DC1-LEAF1,Ethernet2,172.18.255.3/31,N/A,DC1-SPINE2,Ethernet1,172.18.255.2/31,N/A
L3 Leaf,DC1-LEAF2,Ethernet1,172.18.255.5/31,N/A,DC1-SPINE1,Ethernet2,172.18.255.4/31,N/A
L3 Leaf,DC1-LEAF2,Ethernet2,172.18.255.7/31,N/A,DC1-SPINE2,Ethernet2,172.18.255.6/31,N/A
L3 Leaf,DC1-LEAF3,Ethernet1,172.18.255.9/31,N/A,DC1-SPINE1,Ethernet3,172.18.255.8/31,N/A
L3 Leaf,DC1-LEAF3,Ethernet2,172.18.255.11/31,N/A,DC1-SPINE2,Ethernet3,172.18.255.10/31,N/A
L3 Leaf,DC1-LEAF4,Ethernet1,172.18.255.13/31,N/A,DC1-SPINE1,Ethernet4,172.18.255.12/31,N/A
L3 Leaf,DC1-LEAF4,Ethernet2,172.18.255.15/31,N/A,DC1-SPINE2,Ethernet4,172.18.255.14/31,N/A
